File ID,Vehicle 1 Manufacturer,Vehicle 1 Business Name,Vehicle 1 Year of Manufacturing,Vehicle 1 Make,Vehicle 1 Model,Location of Accident,City of Accident,County of Accident,State of Accident,ZIPCODE of Accident,Vehicle 1 was Moving,Vehicle 1 was Stopped in Traffic,Pedestrian Involved in Accident (w V1),Bicyclist involved in Accident (w V1),Any other involved entity (w V1),Number of Vehicles involved in Accident (w V1),Vehicle Damage,RB,LR1,LR2,LR3,RR1,RR2,RR3,LRP1,LRP2,LRP3,LRP4,RRP1,RRP2,RRP3,RRP4,FDS1,FDS2,FDS3,FDS4,FPS1,FPS2,FPS3,FPS4,LFC1,LFC2,LFC3,RFC1,RFC2,RFC3,FB,Vehicle 2 Model,Vehicle 2 Year of Manufacturing,Vehicle 2 was Moving,Vehicle 2 was Stopped in Traffic,Pedestrian Involved in Accident (w V2),Bicyclist involved in Accident (w V2),Any other involved entity (w V2),Number of Vehicles involved in Accident (w V2),Car Mode,Weather Vehicle 1,Weather Vehicle 2,Lighting Vehicle 1,Lighting Vehicle 2,Roadway Surface Vehicle 1,Roadway Surface Vehicle 2,Roadway Conditions Vehicle 1,Roadway Conditions Vehicle 2,Movement Preceding Collision Vehicle 1,Movement Preceding Collision Vehicle 2,Type of Collison Vehicle 1,Type of Collison Vehicle 2,Other Factors
collision-report-zoox-december-19-2019.pdf,Zoox Inc,Zoox Inc,2016,Toyota,Highlander,NB Kearny Street before Post Street,San Francisco,San Francisco,CA,94108,/#20,N/A,N/A,N/A,Vehicle,2,Zoox Inc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/Yes,/Yes,N/A,Ford,2014,/#20,N/A,N/A,N/A,Vehicle,2,Conventional Mode,Cloudy,Cloudy,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Proceeding Straight,Changing Lanes,Side Swipe,Side Swipe,N/A
apple-collision-report-september-19-2019.pdf,Apple Inc.,Apple Inc.,2017,Lexus,RX 450h,Sunnyvale Community Center Park Entrance,Sunnyvale,Santa Clara,CA,94087,N/A,/#20,N/A,N/A,N/A,2,Apple Inc.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/Yes,N/A,N/A,N/A,N/A,Toyota Corolla,2019,/#20,N/A,N/A,N/A,N/A,2,Conventional Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Stopped,Making Right Turn,Other,Head-On,N/A
waymo-collision-report-october-16-2019.pdf,Waymo LLC,Waymo LLC,2017,Chrysler,Pacifica,Distel Drive at El Camino Real,Mountain View,Santa Clara,CA,94022,N/A,/#20,N/A,N/A,N/A,2,Waymo LLC,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BMW X3,2018,/#20,N/A,N/A,N/A,N/A,2,Autonomous Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Stopped,Making Right Turn,Other,Rear End,N/A
gm-cruise-collision-report-may-13-2019.pdf,GM Cruise LLC,Cruise,2019,Chevrolet,Bolt,Filmore St. and Fell St. ,San Francisco,San Francisco,CA,94117,/#20,N/A,N/A,N/A,N/A,2,GM Cruise LLC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,Mazda,2013,/#20,N/A,N/A,N/A,N/A,2,Conventional Mode,Clear,Clear,Dark w Street-lights,Dark w Street-lights,Dark,Dark,No unusual conditions,No unusual conditions,Proceeding Straight,Proceeding Straight,Other,Broadside,CVC Sections Not Violated
gm-cruise-collision-report-june-29-2019.pdf,GM Cruise LLC,Cruise,2020,Chevrolet,Bolt,Duboce Ave between Guerrero St. and Market St.,San Francisco,San Francisco,CA,94103,/#20,N/A,N/A,N/A,N/A,2,GM Cruise LLC,N/A,/Yes,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Town & Country,2016,/#20,N/A,N/A,N/A,N/A,2,Autonomous Mode,Clear,Clear,Dark w Street-lights,Dark w Street-lights,Dark,Dark,No unusual conditions,No unusual conditions,Proceeding Straight,Changing Lanes,Other,Rear End,N/A
cruise-collision-report-november-29-2019.pdf,Cruise LLC,Cruise,2020,Chevrolet,Bolt,Embarcadero St. and Washington St. ,San Francisco,San Francisco,CA,94105,/#20,N/A,N/A,N/A,N/A,2,Cruise LLC,/Yes,/Yes,N/A,N/A,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Audi Q4,2014,/#20,N/A,N/A,N/A,N/A,2,Conventional Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Proceeding Straight,Proceeding Straight,Other,Rear End,N/A
gm-cruise-collision-report-october-12-2019.pdf,Cruise LLC,Cruise,2020,Chevrolet,Bolt,Spear St. between Howard St. and Folsom St. ,San Francisco,San Francisco,CA,94105,/#20,N/A,N/A,N/A,N/A,2,Cruise LLC,N/A,N/A,N/A,N/A,/Yes,N/A,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mazda,N/A,/#20,N/A,N/A,N/A,N/A,2,Conventional Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,Construction - Repair Zone,Construction - Repair Zone,Changing Lanes,Proceeding Straight,Other,Rear End,N/A
gm-cruise-collision-report-october-3-2019.pdf,GM Cruise LLC,Cruise,2020,Chevrolet,Bolt,10th St. and Bryant St.,San Francisco,San Francisco,CA,94103,N/A,/#20,N/A,N/A,Scooter,1,GM Cruise LLC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,unk.,N/A,/#20,N/A,N/A,N/A,scooter,1,Autonomous Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Slowing/Stopping,Changing Lanes,Other,Side Swipe,N/A
cruise-collision-report-october-27-2019.pdf,Cruise LLC,Cruise,2020,Chevrolet,Bolt,15 Marina Blvd,San Francisco,San Francisco,CA,94123,/#20,N/A,N/A,N/A,N/A,2,Cruise LLC,N/A,N/A,N/A,N/A,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Civic,2006,/#20,N/A,N/A,N/A,N/A,2,Conventional Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Parking Manuever,Parking Manuever,Other,Rear End,N/A
cruise-collision-report-october-26-2019.pdf,Cruise LLC,Cruise,2020,Chevrolet,Bolt,The Embarcadero and Battery St. ,San Francisco,San Francisco,CA,94111,/#20,N/A,N/A,N/A,N/A,2,Cruise LLC,/Yes,N/A,N/A,N/A,/Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Accord,2007,/#20,N/A,N/A,N/A,N/A,2,Conventional Mode,Clear,Clear,Daylight,Daylight,Dark,Dark,No unusual conditions,No unusual conditions,Proceeding Straight,Proceeding Straight,Other,Rear End,N/A
