Year,Month,Make,Model,City,State,Hour,Rear Damage,Front Damage,Right Side Damage,Left Side Damage,Inside Damage,Lighting,Weather,Roadway Surface,Movement Preceding Collision
2023,8,Cruise,AV,San Francisco,CA,10.0,0,1,1,0,0,Daylight,Clear,Dry,Stopped
2023,8,Cruise,AV,San Francisco,CA,16.0,1,0,0,1,0,Daylight,Clear,Dry,Stopped
2023,8,Cruise,AV,San Francisco,CA,0.0,0,0,0,1,0,Dark w Street-lights,Clear,Dry,Stopped
2023,8,Cruise,AV,San Francisco,CA,0.0,1,0,0,1,1,Dark w Street-lights,Clear,Dry,Stopped
2023,9,Cruise,AV,San Francisco,CA,17.0,0,1,0,1,0,Daylight,Clear,Dry,Stopped
2023,9,Cruise,AV,San Francisco,CA,9.0,0,1,1,0,0,Daylight,Clear,Dry,Proceeding Straight
2023,9,Cruise,AV,San Francisco,CA,8.0,0,1,1,0,0,Daylight,Clear,Dry,Proceeding Straight
2023,10,Cruise,AV,San Francisco,CA,11.0,0,0,0,1,0,Daylight,Clear,Dry,Stopped
2021,12,Chevrolet,Bolt,San Francisco,CA,17.0,0,1,0,0,0,Dark w Street-lights,Clear,Slippery,Proceeding Straight
2021,12,Chevrolet,Bolt,San Francisco,CA,16.0,1,0,0,0,0,Daylight,Clear,Dry,Stopped
2016,1,Nissan,Leaf,San Francisco,CA,13.0,0,0,0,0,0,,,,
2019,12,Chevrolet,Bolt,San Francisco,CA,7.0,1,0,0,1,0,Daylight,Clear,Dry,Parking Manuever
2019,12,Chevrolet,Bolt,San Francisco,CA,10.0,0,0,0,0,0,Daylight,Clear,Dry,Proceeding Straight
2019,12,Chevrolet,Bolt,San Francisco,CA,16.0,0,0,0,0,0,Dusk/Dawn,Clear,Dry,Proceeding Straight
2019,12,Chevrolet,Bolt,San Francisco,CA,9.0,1,0,0,0,0,Daylight,Clear,Dry,Stopped
2020,2,Cheverolet,Bolt,San Francisco,CA,8.0,0,0,0,0,0,Daylight,Clear,Dry,Stopped
2020,2,Chevrolet,Bolt,San Francisco,CA,21.0,1,0,0,0,0,Dark w Street-lights,Clear,Dry,Proceeding Straight
2020,1,Chevrolet,Bolt,,CA,12.0,0,0,1,0,0,No unusual conditions,Slippery,Other,
2020,1,Chevrolet,Bolt,San Francisco,CA,8.0,0,1,0,0,0,Daylight,Clear,Dry,Parking
